nickname,phone,email,password,name,money,address,birth,gender,registration
U1077,68101081763,U1077@splitit.net, Theodore, Theodore,135,NICOLAS ZAPATA 300,12/12/2001,male,10/06/2022
U1055,6107166440,U1055@splitit.net, Nelle, Nelle,475,Himno nacional esq. Blvd. Juarez,14/6/1996,male,10/06/2022
U1053,686536881,U1053@splitit.net, Agnes, Agnes,347,Himno Nacional 100 Avenida,4/4/1994,male,10/06/2022
U1081,6684401031,U1081@splitit.net, Leonard, Leonard,257,Revolucion,10/6/2009,male,10/06/2022
U1001,603244633,polgraciae@gmail.com,splitit,Pol,149,Venustiano Carranza 1809 C Polanco,13/2/1998,female,10/06/2022
U1056,6552102289,U1056@splitit.net, Magdelina, Magdelina,148,cd. mier,26/9/2001,female,10/06/2022
U1134,6073103200,U1134@splitit.net, Lucille, Lucille,874,Paseo de las Fuentes,25/10/2009,male,10/06/2022
U1116,628618807,U1116@splitit.net, Bertha, Bertha,280,Tangamanga 7 Tangamanga,24/7/1991,male,10/06/2022
U1024,613850459,U1024@splitit.net, Carolyn, Carolyn,503,Paseo de las Fuentes,9/12/2015,female,10/06/2022
U1132,6868515106,U1132@splitit.net, Elisha, Elisha,345,Cuauhtemoc 455,5/3/1999,male,10/06/2022
U1036,690433459,U1036@splitit.net, Calvin, Calvin,760,Venustiano Carranza 1809 C Polanco,1/2/1991,female,10/06/2022
U1071,6793588109,U1071@splitit.net, Vince, Vince,444,Rio Papaloapan 265 Lomas de San Luis (3),17/4/2001,male,10/06/2022
U1049,6101454380,U1049@splitit.net, Jane, Jane,138,Paseo de las Fuentes,13/4/2003,female,10/06/2022
U1104,615243777,U1104@splitit.net, Carrie, Carrie,180,Cordillera de Los Alpes 160 Lomas 2 Seccion,18/5/1993,male,10/06/2022
U1045,634720213,U1045@splitit.net, Eleanor, Eleanor,122,Av. de los Pintores,23/6/1999,female,10/06/2022
U1009,6587510595,U1009@splitit.net, Cecilia, Cecilia,564,Cuauhtemoc 455,11/10/1997,male,10/06/2022
U1135,6116310172,U1135@splitit.net, Aaron, Aaron,450,Libramiento Burgos Colonia Las Animas,4/11/2001,female,10/06/2022
U1062,609779242,U1062@splitit.net, Helene, Helene,174,Revolucion,21/8/2011,male,10/06/2022
U1109,635749610,U1109@splitit.net, Margaret, Margaret,402,Rio Papaloapan 265 Lomas de San Luis (3),21/2/1997,female,10/06/2022
U1085,675510441,U1085@splitit.net, Debora, Debora,511,Rio Papaloapan 265 Lomas de San Luis (3),4/6/2013,female,10/06/2022
U1098,672136444,U1098@splitit.net, Francis, Francis,374,Av. de los Pintores,22/11/1990,female,10/06/2022
U1003,618274180,ferran.vera.filella@gmail.com,splitit,Ferran,657,Av. de los Pintores,10/9/2005,female,10/06/2022
U1091,6425956108,U1091@splitit.net, Anne, Anne,665,Zaragoza entre Francisco Zarco y Lopez Velarde,11/5/2004,female,10/06/2022
U1029,6678781096,U1029@splitit.net, Julian, Julian,178,Paseo de las Fuentes,26/11/2002,male,10/06/2022
U1137,643951834,U1137@splitit.net, Sheridan, Sheridan,406,Rio Papaloapan 265 Lomas de San Luis (3),18/5/1999,female,10/06/2022
U1114,6100276080,U1114@splitit.net, Adaline, Adaline,670,cd. mier,19/12/1998,female,10/06/2022
U1061,6989420010,U1061@splitit.net, Philip, Philip,447,Zaragoza entre Francisco Zarco y Lopez Velarde,18/8/1993,male,10/06/2022
U1057,61106603104,U1057@splitit.net, Joan, Joan,89,Tangamanga 7 Tangamanga,8/10/1993,female,10/06/2022
U1025,6948651028,U1025@splitit.net, Christine, Christine,175,Paseo de las Fuentes,23/6/2002,male,10/06/2022
U1059,6901076101,U1059@splitit.net, Cyrenius, Cyrenius,371,Av. de los Pintores,20/8/1990,female,10/06/2022
U1006,6261057121,U1006@splitit.net, Obadiah, Obadiah,660,Venustiano Carranza 1809 C Polanco,13/5/2011,male,10/06/2022
U1002,60324633,DANI@gmail.com,splitit,Dani,228,Nereo Rodriguez Barragan 450 E Centro,11/5/1997,female,10/06/2022
U1068,669687922,U1068@splitit.net, Gertrude, Gertrude,308,Cordillera de Los Alpes 160 Lomas 2 Seccion,13/4/2012,male,10/06/2022
U1067,6811035010,U1067@splitit.net, Rosalyn, Rosalyn,300,Himno nacional esq. Blvd. Juarez,12/10/2004,male,10/06/2022
U1103,627197420,U1103@splitit.net, Cynthia, Cynthia,438,Pascual M. Hernandez 240,9/9/1999,male,10/06/2022
U1082,604375450,U1082@splitit.net, Mike, Mike,326,Plaza del Carmen,14/6/2005,female,10/06/2022
U1028,612983119,U1028@splitit.net, Prudence, Prudence,352,Emiliano Zapata Col. Tres de Mayo,20/8/2014,male,10/06/2022
U1050,688305161,U1050@splitit.net, Lil, Lil,274,Venustiano Carranza 2175 Jardin,6/5/2015,male,10/06/2022
U1087,610210910412,U1087@splitit.net, Elizabeth, Elizabeth,272,Libramiento Burgos Colonia Las Animas,28/7/2008,female,10/06/2022
U1043,6610909916,U1043@splitit.net, Kristine, Kristine,229,Av. de los Pintores,2/3/2008,female,10/06/2022
U1038,659196189,U1038@splitit.net, Jeanette, Jeanette,39,Libramiento Burgos Colonia Las Animas,14/3/1993,female,10/06/2022
