nickname,phone,email,password,name,money,address,birth,gender,registration
 Erin,637483392, Erin@splitit.net,8030010711754592342, Aaron,0,Bua Yai,13/5/2008,female,2022-01-27 10:43:10.981228
 Ron,6991066376, Ron@splitit.net,8030010711754592342, Aaron,0,Cleckheaton,19/2/2010,female,2022-01-27 10:43:10.981277
 Ronnie,611677718, Ronnie@splitit.net,8030010711754592342, Aaron,0,Meerane,16/11/1992,male,2022-01-27 10:43:10.981312
 Ab,6667881032, Ab@splitit.net,3103393442426888028, Abel,0,La Cenia,19/11/2000,male,2022-01-27 10:43:10.981344
 Abe,6419158310, Abe@splitit.net,3103393442426888028, Abel,0,Dzhalka,5/2/1992,female,2022-01-27 10:43:10.981376
 Eb,6966110128, Eb@splitit.net,3103393442426888028, Abel,0,Tura,7/4/2006,male,2022-01-27 10:43:10.981407
 Ebbie,626111952, Ebbie@splitit.net,3103393442426888028, Abel,0,Fengcheng,19/6/2001,male,2022-01-27 10:43:10.981437
 Abby,6679910112, Abby@splitit.net,7011888520883497146, Abigail,0,Plymouth,29/9/1991,female,2022-01-27 10:43:10.981469
 Gail,647619166, Gail@splitit.net,7011888520883497146, Abigail,0,Baranivka,9/1/2010,male,2022-01-27 10:43:10.981503
 Nabby,613157943, Nabby@splitit.net,7011888520883497146, Abigail,0,Apuiarés,21/10/2000,female,2022-01-27 10:43:10.981534
 Ada,643438465, Ada@splitit.net,-9106279060843851929, Adaline,0,Malishka,13/6/2011,female,2022-01-27 10:43:10.981564
 Addy,671010010499, Addy@splitit.net,-9106279060843851929, Adaline,0,Capas,13/5/1997,male,2022-01-27 10:43:10.981594
 Delia,6221044705, Delia@splitit.net,-9106279060843851929, Adaline,0,Vélizy-Villacoublay,18/8/2011,male,2022-01-27 10:43:10.981623
 Dell,64710674810, Dell@splitit.net,-9106279060843851929, Adaline,0,Annaburg,5/3/1992,female,2022-01-27 10:43:10.981654
 Lena,6878336108, Lena@splitit.net,-9106279060843851929, Adaline,0,Camborne,2/2/1996,female,2022-01-27 10:43:10.981684
 Adele,6694681065, Adele@splitit.net,-3915340936186597932, Adelaide,0,Lochau,18/2/2005,male,2022-01-27 10:43:10.981714
 Della,6961581070, Della@splitit.net,-3915340936186597932, Adelaide,0,Sison,2/4/1996,male,2022-01-27 10:43:10.981744
 Heidi,6250594010, Heidi@splitit.net,-3915340936186597932, Adelaide,0,Ecatzingo,22/10/1993,male,2022-01-27 10:43:10.981774
 Delphia,6010954948, Delphia@splitit.net,4959411562584858826, Adelphia,0,Greer,14/5/1997,male,2022-01-27 10:43:10.981804
 Philly,6740815103, Philly@splitit.net,4959411562584858826, Adelphia,0,Johnston,2/3/2012,female,2022-01-27 10:43:10.981833
