nickname,phone,email,password,name,money,address,birth,gender,registration
 Erin,6002371066, Erin@splitit.net,4508680613748767663, Aaron,0,Lakeport,13/2/1994,male,1643198724.5084476
 Ron,61022318100, Ron@splitit.net,4508680613748767663, Aaron,0,Cauquenes,10/6/1996,male,1643198724.508504
 Ronnie,6108488143, Ronnie@splitit.net,4508680613748767663, Aaron,0,An Nāşirīyah,14/6/1994,female,1643198724.508544
 Ab,6957241072, Ab@splitit.net,6151799281353431662, Abel,0,Borcea,10/7/2003,female,1643198724.508581
 Abe,6324102754, Abe@splitit.net,6151799281353431662, Abel,0,Schwabmünchen,24/1/1995,male,1643198724.5086384
 Eb,668850202, Eb@splitit.net,6151799281353431662, Abel,0,Oranzherei,12/5/1997,female,1643198724.5086877
 Ebbie,6395581102, Ebbie@splitit.net,6151799281353431662, Abel,0,Prades-le-Lez,27/8/2005,female,1643198724.5087254
 Ab,61710191006, Ab@splitit.net,-8959347035683701759, Abiel,0,Alamogordo,16/10/2004,female,1643198724.508762
 Abby,613368856, Abby@splitit.net,-4580745909409117990, Abigail,0,Orchards,3/12/1991,male,1643198724.5088015
 Gail,660873227, Gail@splitit.net,-4580745909409117990, Abigail,0,Alpercata,31/5/2001,female,1643198724.5088358
 Nabby,69810137107, Nabby@splitit.net,-4580745909409117990, Abigail,0,Tonyrefail,25/5/2013,male,1643198724.5088696
 Ab,6663771064, Ab@splitit.net,-156504626074331232, Abner,0,Montrose,31/6/2010,female,1643198724.5089025
 Ab,6079427510, Ab@splitit.net,1879982188680268822, Abraham,0,Torri di Quartesolo,32/7/2002,female,1643198724.5089357
 Abe,674365400, Abe@splitit.net,1879982188680268822, Abraham,0,Colorado,21/4/2011,male,1643198724.5089693
 Ab,679293665, Ab@splitit.net,2676689291236071435, Abram,0,El Marmouta,23/7/1999,female,1643198724.5090055
 Ada,608258671, Ada@splitit.net,5591755448835575380, Adaline,0,Rowlands Gill,31/4/2011,male,1643198724.5090399
 Addy,670144721, Addy@splitit.net,5591755448835575380, Adaline,0,Ferlach,20/4/2000,male,1643198724.5090735
 Delia,630681627, Delia@splitit.net,5591755448835575380, Adaline,0,St. Charles,5/12/2000,female,1643198724.5091064
 Dell,642310103310, Dell@splitit.net,5591755448835575380, Adaline,0,Lancaster,28/3/1996,female,1643198724.5091398
 Lena,615506900, Lena@splitit.net,5591755448835575380, Adaline,0,Auburn,24/6/2000,male,1643198724.5091724
