nickname,phone,email,password,name,money,address,birth,gender,registration
U1077,616214036,U1077@splitit.net, Patrick, Patrick,149,Revolucion,19/12/2000,male,16/06/2022
U1055,6910555720,U1055@splitit.net, Curtis, Curtis,453,Himno nacional esq. Blvd. Juarez,10/6/1994,male,16/06/2022
U1053,60109210815,U1053@splitit.net, Babs, Babs,365,Plaza del Carmen,27/12/2013,male,16/06/2022
U1081,68090771010,U1081@splitit.net, Harold, Harold,248,1a. de Lozada 1,28/7/2002,male,16/06/2022
U1001,603244633,polgraciae@gmail.com,splitit,Pol,129,esquina santos degollado y leon guzman,22/2/2003,male,16/06/2022
U1056,633236904,U1056@splitit.net, Lil, Lil,152,avenida hivno nacional,3/8/1996,male,16/06/2022
U1134,6981069668,U1134@splitit.net, Christina, Christina,960,Venustiano Carranza 2175 Jardin,18/8/2000,male,16/06/2022
U1116,6945110193,U1116@splitit.net, Cornelia, Cornelia,293,Cordillera de Los Alpes 160 Lomas 2 Seccion,22/8/1992,male,16/06/2022
U1024,67810110086,U1024@splitit.net, Zebedee, Zebedee,501,lic. Emilio portes gil,28/7/1999,male,16/06/2022
U1132,669263426,U1132@splitit.net, Christian, Christian,362,Himno Nacional 100 Avenida,4/1/1999,male,16/06/2022
U1036,61081009652,U1036@splitit.net, Nathaniel, Nathaniel,749,Nereo Rodriguez Barragan 450 E Centro,3/11/2004,male,16/06/2022
U1071,625139744,U1071@splitit.net, Dorothy, Dorothy,430,cd. mier,5/6/1994,male,16/06/2022
U1049,667305983,U1049@splitit.net, Thomas, Thomas,138,Emiliano Zapata Col. Tres de Mayo,20/12/2013,female,16/06/2022
U1104,671569867,U1104@splitit.net, Henrietta, Henrietta,173,1a. de Lozada 1,4/3/2002,male,16/06/2022
U1045,603129562,U1045@splitit.net, Adelphia, Adelphia,124,Av. Carranza 830,9/8/2008,female,16/06/2022
U1009,665688828,U1009@splitit.net, Priscilla, Priscilla,464,Cordillera de Los Alpes 160 Lomas 2 Seccion,3/4/1998,male,16/06/2022
U1135,6683259410,U1135@splitit.net, Ann, Ann,432,sevilla y olmedo 715 a,5/3/2009,female,16/06/2022
U1062,6311401061,U1062@splitit.net, Penelope, Penelope,187,esquina santos degollado y leon guzman,24/3/1993,male,16/06/2022
U1109,66175910104,U1109@splitit.net, Jessica, Jessica,372,Cordillera de Los Alpes 160 Lomas 2 Seccion,9/4/2010,female,16/06/2022
U1085,629679049,U1085@splitit.net, Edythe, Edythe,575,Paseo de las Fuentes,14/6/1992,female,16/06/2022
U1098,695101510910,U1098@splitit.net, Alicia, Alicia,373,av. seminario,9/12/1997,female,16/06/2022
U1003,618274180,ferran.vera.filella@gmail.com,splitit,Ferran,671,avenida hivno nacional,27/9/1995,female,16/06/2022
U1091,642271653,U1091@splitit.net, Beth, Beth,642,esquina santos degollado y leon guzman,25/2/2013,female,16/06/2022
U1029,6094109757,U1029@splitit.net, Ronald, Ronald,176,Emiliano Zapata Col. Tres de Mayo,18/2/2008,male,16/06/2022
U1137,6493110597,U1137@splitit.net, Anne, Anne,424,Emiliano Zapata Col. Tres de Mayo,27/1/2011,female,16/06/2022
U1114,65621010740,U1114@splitit.net, Laurence, Laurence,654,Emiliano Zapata Col. Tres de Mayo,20/2/2014,male,16/06/2022
U1061,6431087595,U1061@splitit.net, Roberta, Roberta,399,av. seminario,10/11/1995,female,16/06/2022
U1057,6041019677,U1057@splitit.net, Edythe, Edythe,78,blvrd emilio portes gil,3/2/1990,male,16/06/2022
U1025,644090426,U1025@splitit.net, Elizabeth, Elizabeth,179,Rayon sn col. Centro,10/12/2011,female,16/06/2022
U1059,649288782,U1059@splitit.net, Debby, Debby,348,sevilla y olmedo 715 a,20/9/2004,female,16/06/2022
U1006,68510100436,U1006@splitit.net, Derrick, Derrick,671,Plaza del Carmen,21/5/2014,male,16/06/2022
U1002,60324633,DANI@gmail.com,splitit,Dani,248,Venustiano Carranza 1809 C Polanco,6/11/2009,female,16/06/2022
U1068,653374835,U1068@splitit.net, Theresa, Theresa,322,Av. Carranza 830,3/12/2007,male,16/06/2022
U1067,6910538958,U1067@splitit.net, Kent, Kent,305,avenida hivno nacional,12/3/1994,female,16/06/2022
U1103,610610110869,U1103@splitit.net, Thomas, Thomas,425,Himno Nacional 100 Avenida,18/9/2013,male,16/06/2022
U1082,614987592,U1082@splitit.net, Gerry, Gerry,320,Paseo de las Fuentes,26/9/1994,female,16/06/2022
U1028,6609669105,U1028@splitit.net, Edmund, Edmund,386,Av. de los Pintores,8/2/1990,female,16/06/2022
U1050,6106289166,U1050@splitit.net, Edyth, Edyth,255,Rio Papaloapan 265 Lomas de San Luis (3),9/6/2011,male,16/06/2022
U1087,610910613103,U1087@splitit.net, Eleanor, Eleanor,248,Zaragoza entre Francisco Zarco y Lopez Velarde,21/6/2008,female,16/06/2022
U1043,606837205,U1043@splitit.net, Robert, Robert,222,Nereo Rodriguez Barragan 450 E Centro,26/4/1991,male,16/06/2022
U1038,682527556,U1038@splitit.net, Shirley, Shirley,48,Cordillera de Los Alpes 160 Lomas 2 Seccion,28/8/2011,female,16/06/2022
U1019,677605144,U1019@splitit.net, Ezekiel, Ezekiel,424,Av. Carranza 830,16/12/2011,male,16/06/2022
U1113,690516685,U1113@splitit.net, Constance, Constance,362,Revolucion,18/11/2002,female,16/06/2022
U1106,6570104449,U1106@splitit.net, Rudolphus, Rudolphus,855,Libramiento Burgos Colonia Las Animas,6/6/2000,male,16/06/2022
U1016,6447021104,U1016@splitit.net, Julie, Julie,261,Emiliano Zapata Col. Tres de Mayo,6/7/2012,male,16/06/2022
U1099,6591244210,U1099@splitit.net, Natalie, Natalie,283,Cuauhtemoc 455,21/10/1996,male,16/06/2022
U1054,6225491410,U1054@splitit.net, Bertha, Bertha,159,Rio Papaloapan 265 Lomas de San Luis (3),16/8/2005,female,16/06/2022
U1101,6511109572,U1101@splitit.net, Margaret, Margaret,260,Av. Carranza 830,18/11/1992,male,16/06/2022
U1032,610614610010,U1032@splitit.net, Faith, Faith,611,Cordillera de Los Alpes 160 Lomas 2 Seccion,18/12/1999,male,16/06/2022
U1031,6960448101,U1031@splitit.net, Adelaide, Adelaide,120,Paseo de las Fuentes,8/3/1994,male,16/06/2022
